x_RIS_m,y_RIS_m,z_RIS_m,H_RIS,H_total,Pr_W,SNR_linear,SNR_dB,data_rate_bps,data_rate_Mbps
1.1666666666666665,0.0,1.1133333333333333,0.0,0.0,0.0,0.0,-inf,0.0,0.0
1.1666666666666665,0.0,1.19,0.0,0.0,0.0,0.0,-inf,0.0,0.0
1.1666666666666665,0.0,1.2666666666666666,0.0,0.0,0.0,0.0,-inf,0.0,0.0
1.1666666666666665,0.0,1.3433333333333333,0.0,0.0,0.0,0.0,-inf,0.0,0.0
1.1666666666666665,0.0,1.42,0.0,0.0,0.0,0.0,-inf,0.0,0.0
1.1666666666666665,0.0,1.4966666666666666,9.286698450536957e-08,9.286698450536957e-08,9.286698450536957e-08,0.24225593562437633,-6.157255732974943,6259248.7049432965,6.259248704943296
1.1666666666666665,0.0,1.5733333333333333,9.657742626636445e-08,9.657742626636445e-08,9.657742626636445e-08,0.26200102733236297,-5.816970057645996,6714261.694946515,6.714261694946515
1.1666666666666665,0.0,1.65,9.840344156544319e-08,9.840344156544319e-08,9.840344156544319e-08,0.27200213609193374,-5.65427685343386,6942021.867266941,6.9420218672669405
1.1666666666666665,0.0,1.7266666666666666,9.844932223214085e-08,9.844932223214085e-08,9.844932223214085e-08,0.27225583755741845,-5.650227995729402,6947776.218454986,6.947776218454986
1.1666666666666665,0.0,1.8033333333333332,9.686545911448132e-08,9.686545911448132e-08,9.686545911448132e-08,0.2635661432901104,-5.7911037832171575,6750023.726477093,6.750023726477093
1.1666666666666665,0.0,1.88,9.383466273271019e-08,9.383466273271019e-08,9.383466273271019e-08,0.24733087499823572,-6.067216660713904,6376884.28973207,6.37688428973207
1.1666666666666665,0.0,1.9566666666666666,8.955945429120455e-08,8.955945429120455e-08,8.955945429120455e-08,0.22530696450903848,-6.472253835043257,5862864.383708123,5.862864383708123
1.1666666666666665,0.0,2.033333333333333,8.425101375218382e-08,8.425101375218382e-08,8.425101375218382e-08,0.19938937391022313,-7.002979903328994,5246001.925928244,5.246001925928244
1.1666666666666665,0.0,2.11,7.812011654084827e-08,7.812011654084827e-08,7.812011654084827e-08,0.1714263207687121,-7.659224957908136,4565324.316553664,4.5653243165536646
1.1666666666666665,0.0,2.1866666666666665,7.13701127442916e-08,7.13701127442916e-08,7.13701127442916e-08,0.14308183617710304,-8.444154951622432,3858573.8701815913,3.858573870181591
1.1666666666666665,0.0,2.263333333333333,6.419181238151377e-08,6.419181238151377e-08,6.419181238151377e-08,0.11574733874097114,-9.364889854797523,3160207.3101098165,3.1602073101098167
1.1666666666666665,0.0,2.34,5.676003033028522e-08,5.676003033028522e-08,5.676003033028522e-08,0.0904975823005357,-10.433630230882967,2499731.4287911663,2.4997314287911663
1.1666666666666665,0.0,2.4166666666666665,4.923149869884358e-08,4.923149869884358e-08,4.923149869884358e-08,0.06808286963753073,-11.669621473788197,1900471.7228499493,1.9004717228499493
1.1666666666666665,0.0,2.493333333333333,4.174385407701298e-08,4.174385407701298e-08,4.174385407701298e-08,0.04894821133147097,-13.102631735863802,1378869.01874877,1.37886901874877
1.1666666666666665,0.0,2.57,3.441543480557912e-08,3.441543480557912e-08,3.441543480557912e-08,0.033270418273755015,-14.779417391719996,944357.456707082,0.944357456707082
1.1666666666666665,0.0,2.6466666666666665,2.7345665128541767e-08,2.7345665128541767e-08,2.7345665128541767e-08,0.02100529192314468,-16.776712784330638,599806.8759595829,0.5998068759595828
1.1666666666666665,0.0,2.723333333333333,2.0615848704877094e-08,2.0615848704877094e-08,2.0615848704877094e-08,0.011938621288630725,-19.230458240703232,342435.73250298196,0.342435732502982
1.1666666666666665,0.0,2.8,1.4290236924212298e-08,1.4290236924212298e-08,1.4290236924212298e-08,0.005736283376224888,-22.413694023732265,165041.2411989375,0.16504124119893748
1.3,0.0,0.5,0.0,0.0,0.0,0.0,-inf,0.0,0.0
1.3,0.0,0.5766666666666667,0.0,0.0,0.0,0.0,-inf,0.0,0.0
